2023-08-07 19:13:49,056 sMRI, param size = 0.089 MB
2023-08-07 19:17:51,513 ******* Epoch 118, Val Loss MSE 37.25, Val MAE 6.33 *******
2023-08-07 19:17:53,533 ******* Epoch 119, Train Loss MSE 31.54, Train MAE 5.86 *******
2023-08-07 19:17:53,533 ******* Epoch 119, Val Loss MSE 34.25, Val MAE 5.75 *******
2023-08-07 19:17:55,836 ******* Epoch 120, Train Loss MSE 30.32, Train MAE 5.68 *******
2023-08-07 19:17:55,837 ******* Epoch 120, Val Loss MSE 33.99, Val MAE 5.76 *******
2023-08-07 19:17:57,772 ******* Epoch 121, Train Loss MSE 31.73, Train MAE 5.83 *******
2023-08-07 19:17:57,772 ******* Epoch 121, Val Loss MSE 33.90, Val MAE 5.76 *******
2023-08-07 19:17:59,826 ******* Epoch 122, Train Loss MSE 31.38, Train MAE 5.83 *******
2023-08-07 19:17:59,827 ******* Epoch 122, Val Loss MSE 31.63, Val MAE 5.65 *******
2023-08-07 19:18:02,097 ******* Epoch 123, Train Loss MSE 35.36, Train MAE 6.18 *******
2023-08-07 19:18:02,098 ******* Epoch 123, Val Loss MSE 54.31, Val MAE 7.39 *******
2023-08-07 19:18:04,980 ******* Epoch 124, Train Loss MSE 30.48, Train MAE 5.73 *******
2023-08-07 19:18:04,980 ******* Epoch 124, Val Loss MSE 33.17, Val MAE 5.69 *******
2023-08-07 19:18:06,936 ******* Epoch 125, Train Loss MSE 30.79, Train MAE 5.73 *******
2023-08-07 19:18:06,936 ******* Epoch 125, Val Loss MSE 40.32, Val MAE 6.33 *******
2023-08-07 19:18:08,978 ******* Epoch 126, Train Loss MSE 29.08, Train MAE 5.64 *******
2023-08-07 19:18:08,978 ******* Epoch 126, Val Loss MSE 33.27, Val MAE 5.72 *******
2023-08-07 19:18:10,902 ******* Epoch 127, Train Loss MSE 34.41, Train MAE 6.03 *******
2023-08-07 19:18:10,902 ******* Epoch 127, Val Loss MSE 58.15, Val MAE 8.48 *******
2023-08-07 19:18:12,873 ******* Epoch 128, Train Loss MSE 34.29, Train MAE 6.09 *******
2023-08-07 19:18:12,874 ******* Epoch 128, Val Loss MSE 41.00, Val MAE 6.53 *******
2023-08-07 19:18:15,387 ******* Epoch 129, Train Loss MSE 31.85, Train MAE 5.90 *******
2023-08-07 19:18:15,387 ******* Epoch 129, Val Loss MSE 35.20, Val MAE 5.87 *******
2023-08-07 19:18:17,334 ******* Epoch 130, Train Loss MSE 29.99, Train MAE 5.73 *******
2023-08-07 19:18:17,334 ******* Epoch 130, Val Loss MSE 35.91, Val MAE 5.99 *******
2023-08-07 19:18:19,192 ******* Epoch 131, Train Loss MSE 30.79, Train MAE 5.73 *******
2023-08-07 19:18:19,193 ******* Epoch 131, Val Loss MSE 33.43, Val MAE 5.73 *******
2023-08-07 19:18:21,254 ******* Epoch 132, Train Loss MSE 33.97, Train MAE 6.01 *******
2023-08-07 19:18:21,255 ******* Epoch 132, Val Loss MSE 37.79, Val MAE 6.22 *******
2023-08-07 19:18:23,369 ******* Epoch 133, Train Loss MSE 33.06, Train MAE 5.91 *******
2023-08-07 19:18:23,370 ******* Epoch 133, Val Loss MSE 39.12, Val MAE 6.28 *******
2023-08-07 19:18:25,688 ******* Epoch 134, Train Loss MSE 36.83, Train MAE 6.20 *******
2023-08-07 19:18:25,688 ******* Epoch 134, Val Loss MSE 33.49, Val MAE 5.79 *******
2023-08-07 19:18:27,602 ******* Epoch 135, Train Loss MSE 31.28, Train MAE 5.80 *******
2023-08-07 19:18:27,603 ******* Epoch 135, Val Loss MSE 34.45, Val MAE 5.89 *******
2023-08-07 19:18:29,742 ******* Epoch 136, Train Loss MSE 31.09, Train MAE 5.79 *******
